Lurraldea;Udalerria;Udalerriaren kod.;Hauteskunde-oharra;Oharra;Errolda;Botoak;Baliogabeak;Baliodunak;Zuriak;Botoak hautagaitzei;Abstentzioa;EAJ-PNV;PP;PH;PCTE / ELAK;PSE-EE/PSOE;PUM+J;O.E.;EH BILDU;VOX;EB-AZ;PACMA;PODEMOS-AHAL DUGU - ALIANZA VERDE;IZAN;SUMAR
Bizkaia;MURUETA;	908;;;266;230;1;229;3;226;36;113;1;0;0;5;0;;102;0;0;0;1;0;4
Bizkaia;MUSKIZ;	071;;;5961;3914;62;3852;46;3806;2047;1534;129;3;6;834;5;;1064;42;6;23;74;7;79
Bizkaia;MUXIKA;	067;;;1193;850;3;847;15;832;343;295;10;0;0;14;0;;487;4;1;1;8;0;12
Bizkaia;NABARNIZ;	909;;;212;172;1;171;5;166;40;52;0;0;0;0;0;;109;0;0;0;3;2;0
Bizkaia;ONDARROA;	073;;;6553;4125;34;4091;37;4054;2428;1538;71;0;0;102;1;;2174;22;1;14;74;3;54
Bizkaia;OROZKO;	075;;;2111;1450;24;1426;20;1406;661;666;53;0;2;48;0;;576;17;2;2;14;4;22
Bizkaia;ORTUELLA;	083;;;6903;4169;48;4121;42;4079;2734;1502;144;0;9;708;4;;1258;60;11;18;158;1;206
Bizkaia;OTXANDIO;	072;;;960;708;3;705;7;698;252;198;6;0;0;14;1;;467;1;0;1;7;0;3
Bizkaia;PLENTZIA;	077;;;3417;2356;10;2346;17;2329;1061;1011;141;0;3;156;4;;880;28;5;10;34;4;53
Bizkaia;PORTUGALETE;	078;;;36290;21984;160;21824;207;21617;14306;7553;1843;22;46;5341;31;;4859;373;42;114;529;12;852
Bizkaia;SANTURTZI;	082;;;36916;22651;171;22480;195;22285;14265;8228;1451;14;41;4173;31;;6449;382;30;107;541;34;804
Bizkaia;SESTAO;	084;;;21085;12309;138;12171;111;12060;8776;3997;777;13;20;2599;16;;3385;216;22;82;383;10;540
Bizkaia;SONDIKA;	904;;;3641;2578;27;2551;38;2513;1063;1185;177;2;3;224;0;;776;34;1;18;42;0;51
Bizkaia;SOPELA;	085;;;11431;7362;73;7289;102;7187;4069;2997;338;9;8;695;12;;2515;86;31;39;175;9;273
Bizkaia;SOPUERTA;	086;;;2176;1275;136;1139;19;1120;901;400;58;0;1;105;3;;427;23;0;14;41;2;46
Bizkaia;SUKARRIETA;	076;;;305;220;5;215;5;210;85;110;6;0;1;8;0;;76;3;1;0;1;0;4
Bizkaia;TRUCIOS-TURTZIOZ;	087;;;442;323;;323;;323;119;222;8;0;1;14;0;;65;4;0;1;2;0;6
Bizkaia;UBIDE;	088;;;127;96;1;95;;95;31;20;0;0;0;4;0;;67;0;0;1;3;0;0
Bizkaia;UGAO-MIRABALLES;	065;;;3230;2143;20;2123;13;2110;1087;900;69;0;0;188;0;;808;20;2;11;54;1;57
Bizkaia;URDULIZ;	089;;;4435;2912;26;2886;35;2851;1523;1229;146;1;5;209;2;;997;38;1;18;87;3;115
Bizkaia;URDUÑA/ORDUÑA;	074;;;3232;2174;22;2152;19;2133;1058;918;86;1;3;150;4;;848;31;6;4;31;1;50
Bizkaia;VALLE DE TRÁPAGA-TRAPAGARAN;	080;;;9830;6055;49;6006;48;5958;3775;2112;289;4;5;1321;6;;1691;119;9;27;145;4;226
Bizkaia;ZALDIBAR;	095;;;2231;1370;15;1355;16;1339;861;443;70;2;0;205;0;;562;6;4;1;17;5;24
Bizkaia;ZALLA;	096;;;6482;4529;53;4476;39;4437;1953;2329;165;3;5;420;5;;1212;76;5;21;80;15;101
Bizkaia;ZAMUDIO;	905;;;2557;1749;28;1721;18;1703;808;821;64;0;0;105;1;;642;14;5;1;17;0;33
Bizkaia;ZARATAMO;	097;;;1306;788;10;778;10;768;518;315;33;1;0;70;0;;286;13;2;8;14;3;23
Bizkaia;ZEANURI;	024;;;1000;749;7;742;12;730;251;298;9;0;0;7;1;;393;0;1;0;7;3;11
Bizkaia;ZEBERIO;	025;;;879;656;8;648;6;642;223;286;7;0;0;8;0;;316;3;1;3;10;4;4
Bizkaia;ZIERBENA;	913;;;1254;882;11;871;18;853;372;411;21;1;1;40;0;;330;17;0;4;10;0;18
Bizkaia;ZIORTZA - BOLIBAR;	915;;;320;234;1;233;2;231;86;79;2;0;0;4;0;;142;0;0;0;1;0;3
Gipuzkoa;ABALTZISKETA;	001;;;249;156;1;155;2;153;93;74;0;;;0;0;;77;0;0;0;1;1;0
Gipuzkoa;ADUNA;	002;;;374;253;2;251;11;240;121;57;0;;;4;0;;172;3;0;0;3;0;1
Gipuzkoa;AIA;	016;;;1565;923;4;919;10;909;642;398;11;;;18;2;;435;5;8;3;8;4;17
Gipuzkoa;AIZARNAZABAL;	003;;;573;355;3;352;3;349;218;108;1;;;10;0;;219;1;1;1;5;0;3
Gipuzkoa;ALBIZTUR;	004;;;246;147;;147;5;142;99;65;1;;;12;0;;62;2;0;0;0;0;0
Gipuzkoa;ALEGIA;	005;;;1274;771;3;768;8;760;503;243;15;;;38;3;;426;10;0;2;12;0;11
Gipuzkoa;ALKIZA;	006;;;254;150;2;148;2;146;104;48;0;;;2;0;;89;1;0;1;3;1;1
Gipuzkoa;ALTZAGA;	906;;;124;87;;87;2;85;37;31;1;;;2;0;;49;0;0;0;2;0;0
Gipuzkoa;ALTZO;	007;;;346;223;2;221;3;218;123;53;2;;;0;0;;153;2;0;1;2;0;5
Gipuzkoa;AMEZKETA;	008;;;747;447;3;444;9;435;300;140;2;;;7;1;;277;2;2;0;2;0;2
Gipuzkoa;ANDOAIN;	009;;;11274;6540;55;6485;64;6421;4734;1620;335;;;1106;5;;2772;107;20;29;181;5;241
Gipuzkoa;ANOETA;	010;;;1544;986;3;983;8;975;558;257;25;;;70;1;;573;13;1;1;13;1;20
Gipuzkoa;ANTZUOLA;	011;;;1598;1106;10;1096;12;1084;492;310;14;;;77;0;;638;7;2;2;14;1;19
Gipuzkoa;ARAMA;	012;;;132;80;;80;3;77;52;22;0;;;3;0;;50;1;1;0;0;0;0
Gipuzkoa;ARETXABALETA;	013;;;5561;3667;26;3641;22;3619;1894;1218;70;;;270;5;;1873;22;7;9;56;1;88
Gipuzkoa;ARRASATE/MONDRAGON;	055;;;16921;10352;50;10302;71;10231;6569;3149;383;;;1315;17;;4557;89;27;42;281;17;354
Gipuzkoa;ASTEASU;	014;;;1200;684;4;680;6;674;516;200;12;;;20;0;;421;0;0;1;5;2;13
Gipuzkoa;ASTIGARRAGA;	903;;;5687;3471;27;3444;32;3412;2216;994;134;;;300;3;;1657;49;20;20;73;11;151
Gipuzkoa;ATAUN;	015;;;1253;910;4;906;8;898;343;246;3;;;17;0;;620;5;1;1;3;0;2
Gipuzkoa;AZKOITIA;	017;;;8507;5368;15;5353;38;5315;3139;2117;132;;;408;5;;2418;45;11;19;86;10;64
Gipuzkoa;AZPEITIA;	018;;;11419;6973;45;6928;50;6878;4446;2767;106;;;244;6;;3579;41;5;13;61;6;50
Gipuzkoa;BALIARRAIN;	904;;;96;68;1;67;1;66;28;14;0;;;0;0;;50;0;1;0;0;1;0
Gipuzkoa;BEASAIN;	019;;;9864;5904;40;5864;76;5788;3960;2303;213;;;677;7;;2155;54;11;21;192;10;145
Gipuzkoa;BEIZAMA;	020;;;108;65;1;64;;64;43;26;0;;;0;0;;37;0;1;0;0;0;0
Gipuzkoa;BELAUNTZA;	021;;;209;119;;119;6;113;90;41;2;;;3;0;;64;0;0;1;0;1;1
Gipuzkoa;BERASTEGI;	022;;;899;605;2;603;6;597;294;201;4;;;12;0;;364;1;1;0;7;0;7
Gipuzkoa;BERGARA;	074;;;11245;7515;23;7492;47;7445;3730;2458;152;;;637;4;;3813;40;17;22;131;7;164
Gipuzkoa;BERROBI;	023;;;435;221;2;219;2;217;214;50;3;;;11;7;;143;1;0;1;0;0;1
Gipuzkoa;BIDANIA-GOIATZ;	024;;;417;235;2;233;2;231;182;65;4;;;2;0;;149;3;1;0;2;1;4
Gipuzkoa;DEBA;	029;;;4331;2938;16;2922;37;2885;1393;1203;42;;;200;5;;1292;19;5;9;45;8;57
Gipuzkoa;DONOSTIA/SAN SEBASTIÁN;	069;;;146560;92061;474;91587;1153;90434;54499;28184;11297;;;14725;143;;27363;1896;436;605;2035;187;3563
Gipuzkoa;EIBAR;	030;;;20557;12831;55;12776;130;12646;7726;3806;736;;;2948;16;;4145;170;43;55;297;56;374
Gipuzkoa;ELDUAIN;	031;;;185;103;;103;2;101;82;31;0;;;1;0;;69;0;0;0;0;0;0
Gipuzkoa;ELGETA;	033;;;861;605;3;602;5;597;256;175;10;;;26;0;;354;2;2;5;9;2;12
Gipuzkoa;ELGOIBAR;	032;;;8546;5490;31;5459;37;5422;3056;2162;192;;;626;5;;2149;46;13;19;90;20;100
Gipuzkoa;ERRENTERIA;	067;;;30524;17322;92;17230;172;17058;13202;3727;1021;;;3502;10;;7063;278;62;144;482;24;745
Gipuzkoa;ERREZIL;	066;;;451;285;3;282;3;279;166;78;0;;;0;0;;196;1;0;0;2;0;2
Gipuzkoa;ESKORIATZA;	034;;;3231;1981;8;1973;16;1957;1250;650;43;;;170;1;;970;11;3;5;34;6;64
