Lurraldea;Udalerria;Udalerriaren kod.;Hauteskunde-oharra;Oharra;Errolda;Botoak;Baliogabeak;Baliodunak;Zuriak;Botoak hautagaitzei;Abstentzioa;EAJ-PNV;PP;PH;PCTE / ELAK;PSE-EE/PSOE;PUM+J;O.E.;EH BILDU;VOX;EB-AZ;PACMA;PODEMOS-AHAL DUGU - ALIANZA VERDE;IZAN;SUMAR
Bizkaia;GERNIKA-LUMO;	046;;;12545;8594;60;8534;63;8471;3951;41.18;2.41;0.05;0.05;6.64;0.02;;44.53;0.64;0.19;0.32;1.3;0.21;1.72
Bizkaia;GETXO;	044;;;60510;41680;173;41507;411;41096;18830;39.12;21.25;0.06;0.1;10.47;0.11;;20.65;2.25;0.18;0.37;1.74;0.11;2.6
Bizkaia;GIZABURUAGA;	047;;;139;101;;101;1;100;38;26.73;0.0;0.0;0.0;0.0;0.0;;65.35;0.0;0.0;0.0;4.95;0.0;1.98
Bizkaia;GORDEXOLA;	042;;;1387;1036;9;1027;10;1017;351;53.55;6.82;0.1;0.0;6.33;0.1;;24.93;1.17;0.19;0.58;1.75;0.1;3.41
Bizkaia;GORLIZ;	043;;;4852;3240;17;3223;32;3191;1612;44.37;5.65;0.0;0.09;6.73;0.06;;34.6;1.02;0.22;0.62;2.05;0.19;3.41
Bizkaia;GÜEÑES;	045;;;5246;3595;52;3543;35;3508;1651;45.64;4.09;0.08;0.17;9.09;0.4;;32.74;1.27;0.23;0.48;1.58;0.17;3.08
Bizkaia;IBARRANGELU;	048;;;589;438;1;437;3;434;151;38.9;1.83;0.0;0.0;3.2;0.46;;51.03;0.69;0.0;0.46;0.92;0.23;1.6
Bizkaia;IGORRE;	094;;;3059;2157;22;2135;9;2126;902;45.85;1.59;0.0;0.0;3.65;0.14;;44.54;0.84;0.19;0.52;1.31;0.0;0.94
Bizkaia;ISPASTER;	049;;;566;434;4;430;4;426;132;44.19;0.47;0.23;0.23;0.7;0.0;;50.23;0.47;0.0;0.93;0.47;0.23;0.93
Bizkaia;IURRETA;	910;;;2890;1859;14;1845;16;1829;1031;37.62;4.82;0.05;0.05;12.47;0.05;;38.32;1.14;0.05;0.16;1.79;0.22;2.38
Bizkaia;IZURTZA;	050;;;163;125;1;124;;124;38;41.13;0.0;0.0;0.0;1.61;0.0;;56.45;0.0;0.0;0.0;0.81;0.0;0.0
Bizkaia;KARRANTZA HARANA/VALLE DE CARRANZA;	022;;;2235;1367;14;1353;13;1340;868;54.92;2.81;0.15;0.0;5.91;0.07;;31.34;1.11;0.22;0.15;1.4;0.22;0.74
Bizkaia;KORTEZUBI;	907;;;351;284;5;279;;279;67;48.75;0.0;0.0;0.0;1.79;0.0;;48.39;0.0;0.0;0.0;0.36;0.0;0.72
Bizkaia;LANESTOSA;	051;;;215;141;1;140;2;138;74;46.43;5.71;0.0;0.0;7.86;0.0;;30.0;1.43;0.0;0.0;3.57;0.71;2.86
Bizkaia;LARRABETZU;	052;;;1597;1192;12;1180;5;1175;405;32.88;1.44;0.0;0.0;1.44;0.0;;59.07;0.68;0.59;0.17;1.44;0.34;1.53
Bizkaia;LAUKIZ;	053;;;976;732;8;724;9;715;244;55.39;12.02;0.0;0.14;4.83;0.14;;23.2;1.1;0.14;0.69;0.14;0.0;0.97
Bizkaia;LEIOA;	054;;;25463;16394;121;16273;172;16101;9069;40.31;11.1;0.04;0.06;14.55;0.18;;22.94;2.19;0.21;0.48;2.53;0.09;4.27
Bizkaia;LEKEITIO;	057;;;5719;4105;20;4085;33;4052;1614;37.48;0.71;0.02;0.0;1.54;0.0;;56.43;0.2;0.07;0.07;1.49;0.02;1.15
Bizkaia;LEMOA;	055;;;2593;1758;25;1733;14;1719;835;45.64;3.58;0.06;0.06;5.19;0.17;;39.01;1.38;0.23;0.4;1.73;0.17;1.56
Bizkaia;LEMOIZ;	056;;;1051;747;10;737;8;729;304;43.28;2.58;0.0;0.0;2.99;0.0;;43.69;0.54;0.14;1.09;1.36;0.41;2.85
Bizkaia;LEZAMA;	081;;;1932;1427;12;1415;17;1398;505;54.49;2.12;0.21;0.0;5.23;0.0;;31.52;1.06;0.28;0.21;1.06;0.21;2.4
Bizkaia;LOIU;	903;;;1842;1315;14;1301;7;1294;527;57.57;9.45;0.0;0.0;5.0;0.08;;22.06;1.31;0.31;0.61;0.54;0.15;2.38
Bizkaia;MALLABIA;	058;;;919;630;6;624;2;622;289;35.9;1.76;0.0;0.0;5.93;0.0;;51.92;0.32;0.0;0.32;1.76;0.0;1.76
Bizkaia;MAÑARIA;	059;;;407;296;1;295;3;292;111;43.39;2.03;0.0;0.0;1.02;0.0;;52.2;0.0;0.0;0.0;0.0;0.0;0.34
Bizkaia;MARKINA-XEMEIN;	060;;;3616;2333;8;2325;19;2306;1283;43.66;1.42;0.0;0.0;1.94;0.0;;48.82;0.39;0.13;0.04;1.08;0.34;1.38
Bizkaia;MARURI-JATABE;	061;;;858;610;9;601;6;595;248;47.42;4.33;0.0;0.17;3.99;0.0;;34.44;1.33;0.17;0.67;3.33;0.67;2.5
Bizkaia;MENDATA;	062;;;309;244;7;237;5;232;65;42.19;1.27;0.0;0.0;0.84;0.0;;50.21;0.0;0.0;0.0;0.84;0.0;2.53
Bizkaia;MENDEXA;	063;;;346;247;3;244;2;242;99;35.66;0.0;0.41;0.0;1.64;0.0;;56.15;0.0;0.0;0.82;1.23;0.0;3.28
Bizkaia;MEÑAKA;	064;;;632;467;1;466;4;462;165;36.91;2.36;0.0;0.0;1.72;0.21;;55.58;0.21;0.0;0.0;0.21;0.86;1.07
Bizkaia;MORGA;	066;;;360;278;2;276;4;272;82;54.35;0.72;0.0;0.0;1.09;0.0;;39.86;0.0;0.0;0.36;1.81;0.0;0.36
Bizkaia;MUNDAKA;	068;;;1526;1107;19;1088;21;1067;419;42.37;1.93;0.0;0.09;1.93;0.0;;47.7;0.0;0.09;0.46;1.38;0.0;2.11
Bizkaia;MUNGIA;	069;;;13451;8706;85;8621;75;8546;4745;46.89;7.17;0.03;0.06;6.69;0.15;;31.84;1.42;0.22;0.34;1.57;0.2;2.56
Bizkaia;MUNICIPIO CERA BIZKAIA;	999;;;43722;;;;;;43722;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Bizkaia;MUNITIBAR-ARBATZEGI GERRIKAITZ-;	007;;;390;237;;237;3;234;153;29.54;0.42;0.0;0.42;0.42;0.0;;62.87;0.0;0.0;0.42;2.11;0.84;1.69
Bizkaia;MURUETA;	908;;;266;230;1;229;3;226;36;49.34;0.44;0.0;0.0;2.18;0.0;;44.54;0.0;0.0;0.0;0.44;0.0;1.75
Bizkaia;MUSKIZ;	071;;;5961;3914;62;3852;46;3806;2047;39.82;3.35;0.08;0.16;21.65;0.13;;27.62;1.09;0.16;0.6;1.92;0.18;2.05
Bizkaia;MUXIKA;	067;;;1193;850;3;847;15;832;343;34.83;1.18;0.0;0.0;1.65;0.0;;57.5;0.47;0.12;0.12;0.94;0.0;1.42
Bizkaia;NABARNIZ;	909;;;212;172;1;171;5;166;40;30.41;0.0;0.0;0.0;0.0;0.0;;63.74;0.0;0.0;0.0;1.75;1.17;0.0
Bizkaia;ONDARROA;	073;;;6553;4125;34;4091;37;4054;2428;37.59;1.74;0.0;0.0;2.49;0.02;;53.14;0.54;0.02;0.34;1.81;0.07;1.32
Bizkaia;OROZKO;	075;;;2111;1450;24;1426;20;1406;661;46.7;3.72;0.0;0.14;3.37;0.0;;40.39;1.19;0.14;0.14;0.98;0.28;1.54
Bizkaia;ORTUELLA;	083;;;6903;4169;48;4121;42;4079;2734;36.45;3.49;0.0;0.22;17.18;0.1;;30.53;1.46;0.27;0.44;3.83;0.02;5.0
Bizkaia;OTXANDIO;	072;;;960;708;3;705;7;698;252;28.09;0.85;0.0;0.0;1.99;0.14;;66.24;0.14;0.0;0.14;0.99;0.0;0.43
Bizkaia;PLENTZIA;	077;;;3417;2356;10;2346;17;2329;1061;43.09;6.01;0.0;0.13;6.65;0.17;;37.51;1.19;0.21;0.43;1.45;0.17;2.26
Bizkaia;PORTUGALETE;	078;;;36290;21984;160;21824;207;21617;14306;34.61;8.44;0.1;0.21;24.47;0.14;;22.26;1.71;0.19;0.52;2.42;0.05;3.9
Bizkaia;SANTURTZI;	082;;;36916;22651;171;22480;195;22285;14265;36.6;6.45;0.06;0.18;18.56;0.14;;28.69;1.7;0.13;0.48;2.41;0.15;3.58
Bizkaia;SESTAO;	084;;;21085;12309;138;12171;111;12060;8776;32.84;6.38;0.11;0.16;21.35;0.13;;27.81;1.77;0.18;0.67;3.15;0.08;4.44
Bizkaia;SONDIKA;	904;;;3641;2578;27;2551;38;2513;1063;46.45;6.94;0.08;0.12;8.78;0.0;;30.42;1.33;0.04;0.71;1.65;0.0;2.0
